0 0	2 80	1 0 -1 -1 -1 -1 -1 -1 
1 0	1 79	2 0 -1 -1 -1 -1 -1 -1 
2 0	2 80	3 0 -1 -1 -1 -1 -1 -1 
3 0	1 79	4 0 -1 -1 -1 -1 -1 -1 
4 0	2 80	5 0 -1 -1 -1 -1 -1 -1 
5 0	1 79	6 0 -1 -1 -1 -1 -1 -1 
6 0	1 78	7 0 -1 -1 -1 -1 -1 -1 
7 0	2 79	8 0 -1 -1 -1 -1 -1 -1 
8 0	1 78	8 1 -1 -1 -1 -1 -1 -1 
9 0	2 79	8 0 -1 -1 -1 -1 -1 -1 
0 1	1 79	0 0 -1 -1 -1 -1 -1 -1 
1 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 1	1 79	4 0 -1 -1 -1 -1 -1 -1 
5 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
7 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 1	2 79	8 2 -1 -1 -1 -1 -1 -1 
9 1	1 78	9 2 -1 -1 -1 -1 -1 -1 
0 2	2 80	0 1 -1 -1 -1 -1 -1 -1 
1 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 2	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 2	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 2	1 1	6 2 -1 -1 -1 -1 -1 -1 
6 2	1 0	-1 -1 -1 -1 -1 -1 -1 -1 
7 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 2	1 78	9 2 -1 -1 -1 -1 -1 -1 
9 2	2 79	9 3 -1 -1 -1 -1 -1 -1 
0 3	1 79	0 2 -1 -1 -1 -1 -1 -1 
1 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 3	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
