0 0	1 136	1 0 -1 -1 -1 -1 -1 -1 
1 0	1 135	2 0 -1 -1 -1 -1 -1 -1 
2 0	2 136	3 0 -1 -1 -1 -1 -1 -1 
3 0	1 135	4 0 -1 -1 -1 -1 -1 -1 
4 0	2 136	5 0 -1 -1 -1 -1 -1 -1 
5 0	1 135	6 0 -1 -1 -1 -1 -1 -1 
6 0	2 136	7 0 -1 -1 -1 -1 -1 -1 
7 0	1 135	8 0 -1 -1 -1 -1 -1 -1 
8 0	2 136	8 1 9 0 -1 -1 -1 -1 
9 0	1 135	9 1 8 0 -1 -1 -1 -1 
0 1	2 137	0 0 -1 -1 -1 -1 -1 -1 
1 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 1	1 135	4 0 -1 -1 -1 -1 -1 -1 
5 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
7 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 1	1 135	9 1 8 2 8 0 -1 -1 
9 1	2 136	8 1 9 2 9 0 -1 -1 
0 2	1 136	0 1 -1 -1 -1 -1 -1 -1 
1 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 2	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 2	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 2	1 1	6 2 -1 -1 -1 -1 -1 -1 
6 2	1 0	-1 -1 -1 -1 -1 -1 -1 -1 
7 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 2	2 136	9 2 8 1 8 3 -1 -1 
9 2	1 135	8 2 9 1 9 3 -1 -1 
0 3	2 137	0 2 -1 -1 -1 -1 -1 -1 
1 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 3	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 3	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 3	1 1	6 2 -1 -1 -1 -1 -1 -1 
7 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 3	1 135	8 4 8 2 9 3 -1 -1 
9 3	2 136	9 4 9 2 8 3 -1 -1 
0 4	1 136	0 3 -1 -1 -1 -1 -1 -1 
1 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 4	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 4	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
