0 0	1 70	1 0 -1 -1 -1 -1 -1 -1 
1 0	2 71	2 0 -1 -1 -1 -1 -1 -1 
2 0	1 70	3 0 -1 -1 -1 -1 -1 -1 
3 0	2 71	4 0 -1 -1 -1 -1 -1 -1 
4 0	1 70	5 0 -1 -1 -1 -1 -1 -1 
5 0	2 71	6 0 -1 -1 -1 -1 -1 -1 
6 0	1 70	7 0 -1 -1 -1 -1 -1 -1 
7 0	2 71	8 0 -1 -1 -1 -1 -1 -1 
8 0	1 70	8 1 -1 -1 -1 -1 -1 -1 
9 0	2 71	8 0 -1 -1 -1 -1 -1 -1 
0 1	4 71	0 0 -1 -1 -1 -1 -1 -1 
1 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 1	2 71	4 0 -1 -1 -1 -1 -1 -1 
5 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
7 1	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 1	2 71	8 2 -1 -1 -1 -1 -1 -1 
9 1	1 70	9 2 -1 -1 -1 -1 -1 -1 
0 2	2 72	0 1 -1 -1 -1 -1 -1 -1 
1 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 2	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 2	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 2	1 1	6 2 -1 -1 -1 -1 -1 -1 
6 2	1 0	-1 -1 -1 -1 -1 -1 -1 -1 
7 2	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 2	1 70	9 2 -1 -1 -1 -1 -1 -1 
9 2	2 71	9 3 -1 -1 -1 -1 -1 -1 
0 3	2 71	0 2 -1 -1 -1 -1 -1 -1 
1 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 3	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 3	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 3	1 1	6 2 -1 -1 -1 -1 -1 -1 
7 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 3	2 71	8 2 -1 -1 -1 -1 -1 -1 
9 3	1 70	8 3 -1 -1 -1 -1 -1 -1 
0 4	1 70	0 3 -1 -1 -1 -1 -1 -1 
1 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 4	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 4	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 4	1 2	6 3 -1 -1 -1 -1 -1 -1 
7 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 4	1 70	8 5 -1 -1 -1 -1 -1 -1 
9 4	2 71	8 4 -1 -1 -1 -1 -1 -1 
0 5	2 71	0 4 -1 -1 -1 -1 -1 -1 
1 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 5	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 5	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 5	1 3	6 4 -1 -1 -1 -1 -1 -1 
7 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 5	2 71	8 6 -1 -1 -1 -1 -1 -1 
9 5	1 70	8 5 -1 -1 -1 -1 -1 -1 
0 6	1 70	0 5 -1 -1 -1 -1 -1 -1 
1 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 6	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 6	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 6	1 4	6 5 -1 -1 -1 -1 -1 -1 
7 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 6	1 70	9 6 -1 -1 -1 -1 -1 -1 
9 6	2 71	9 5 9 7 -1 -1 -1 -1 
0 7	2 71	0 6 -1 -1 -1 -1 -1 -1 
1 7	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 7	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 7	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 7	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 7	1 6	6 7 -1 -1 -1 -1 -1 -1 
6 7	1 5	6 6 -1 -1 -1 -1 -1 -1 
7 7	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 7	2 71	8 8 9 7 8 6 -1 -1 
9 7	1 70	9 8 -1 -1 -1 -1 -1 -1 
0 8	1 70	0 7 -1 -1 -1 -1 -1 -1 
1 8	2 71	0 8 -1 -1 -1 -1 -1 -1 
2 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 8	1 70	4 9 -1 -1 -1 -1 -1 -1 
5 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
7 8	2 71	7 9 -1 -1 -1 -1 -1 -1 
8 8	1 70	9 8 -1 -1 -1 -1 -1 -1 
9 8	2 71	9 9 -1 -1 -1 -1 -1 -1 
0 9	2 71	0 8 -1 -1 -1 -1 -1 -1 
1 9	1 70	2 9 -1 -1 -1 -1 -1 -1 
2 9	2 71	3 9 -1 -1 -1 -1 -1 -1 
3 9	1 70	4 9 -1 -1 -1 -1 -1 -1 
4 9	2 71	5 9 -1 -1 -1 -1 -1 -1 
5 9	1 70	6 9 -1 -1 -1 -1 -1 -1 
6 9	2 71	7 9 -1 -1 -1 -1 -1 -1 
7 9	1 70	-1 -1 -1 -1 -1 -1 -1 -1 
8 9	2 71	7 9 8 8 -1 -1 -1 -1 
9 9	1 70	8 9 -1 -1 -1 -1 -1 -1 
